# tracer: function
#
# entries-in-buffer/entries-written: 1218/1218   #P:4
#
#                                _-----=> irqs-off
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| /     delay
#           TASK-PID     CPU#  ||||   TIMESTAMP  FUNCTION
#              | |         |   ||||      |         |
          <idle>-0       [000] dNH. 38957.410308: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.410333: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:3-26137   [003] .... 38957.410787: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] dNH. 38957.443390: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38957.443641: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.443671: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [002] .... 38957.445011: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.476612: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.476854: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.476892: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38957.477332: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.509893: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.510134: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.510165: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38957.510570: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.543178: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.543416: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.543448: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38957.543852: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.h. 38957.576463: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNh. 38957.576704: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.576740: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [001] .... 38957.577214: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38957.609760: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38957.610003: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.610019: vb2_buffer_done <-rkisp_buf_done_task
    kworker/u8:2-21565   [003] .... 38957.610435: rockchip_drm_atomic_helper_commit_tail_rpm <-commit_tail
          <idle>-0       [000] d.H. 38957.643041: vb2_buffer_done <-rkisp_stats_send_meas_v21
          <idle>-0       [000] dNH. 38957.643280: vb2_buffer_done <-rkisp_params_cfg_v2x
          <idle>-0       [000] .Ns. 38957.643298: vb2_buffer_done <-rkisp_buf_done_task
